edge_id,from_node,to_node,distance_km,estimated_time_min,road_type,crosses_nh66,bidirectional,source,confidence
edge_030,node_hostel_g_gh1,node_hostel_g_gh2,0.061,0.24,slow_campus_road,False,True,estimated,medium
edge_031,node_hostel_g_gh2,node_hostel_g_gh3,0.071,0.28,slow_campus_road,False,True,estimated,medium
edge_032,node_hostel_g_gh3,node_hostel_g_gh4,0.04,0.16,slow_campus_road,False,True,estimated,medium
edge_033,node_hostel_g_gh4,node_hostel_g_gh5,0.045,0.18,slow_campus_road,False,True,openstreetmap,high
edge_034,node_hostel_g_gh5,node_hostel_g_gh6,0.06,0.24,slow_campus_road,False,True,openstreetmap,high
edge_035,node_hostel_g_gh4,node_girls_coop,0.075,0.9,walking_path,False,True,openstreetmap,high
edge_036,node_girls_coop,node_suprabha_girls,0.015,0.18,walking_path,False,True,estimated,medium
edge_037,node_hostel_g_gh6,node_girls_coop,0.05,0.6,walking_path,False,True,openstreetmap,high
edge_038,node_hostel_g_gh6,node_dept_mech,0.096,0.29,internal_campus_road,False,True,openstreetmap,high
edge_039,node_dept_chemistry,node_boys_coop,0.124,0.37,internal_campus_road,False,True,openstreetmap,high
edge_040,node_lhc_b,node_boys_coop,0.105,0.31,internal_campus_road,False,True,openstreetmap,high
edge_041,node_boys_coop,node_hostel_b_shivalik,0.082,0.33,slow_campus_road,False,True,openstreetmap,high
edge_042,node_hostel_b_shivalik,node_hostel_b_block8,0.096,0.38,slow_campus_road,False,True,openstreetmap,high
edge_043,node_hostel_b_block8,node_mess_b8_trishul,0.015,0.18,walking_path,False,True,estimated,high
edge_044,node_boys_coop,node_hostel_b_mt1,0.14,0.42,internal_campus_road,False,True,openstreetmap,high
edge_045,node_hostel_b_mt1,node_hostel_b_mt2,0.12,0.36,internal_campus_road,False,True,openstreetmap,high
edge_046,node_hostel_b_mt2,node_hostel_b_mt3,0.119,0.36,internal_campus_road,False,True,openstreetmap,high
edge_047,node_hostel_b_mt1,node_mess_mega,0.068,0.27,slow_campus_road,False,True,openstreetmap,high
edge_048,node_hostel_b_mt2,node_mess_mega,0.077,0.31,slow_campus_road,False,True,openstreetmap,high
edge_049,node_boys_coop,node_hostel_b_block7,0.288,0.86,internal_campus_road,False,True,openstreetmap,high
edge_050,node_hostel_b_block7,node_mess_b7_sahyadri,0.015,0.18,walking_path,False,True,estimated,high
edge_051,node_hostel_b_block7,node_mess_gb,0.062,0.74,walking_path,False,True,estimated,medium
edge_052,node_hostel_b_block7,node_hostel_b_block1,0.131,0.39,internal_campus_road,False,True,openstreetmap,high
edge_053,node_hostel_b_block1,node_mess_b1_karavali,0.015,0.18,walking_path,False,True,estimated,high
edge_054,node_hostel_b_block1,node_hostel_b_brahmagiri,0.07,0.28,slow_campus_road,False,True,openstreetmap,high
edge_055,node_hostel_b_brahmagiri,node_mess_pg_new_brahmagiri,0.015,0.18,walking_path,False,True,estimated,high
edge_056,node_hostel_b_brahmagiri,node_hostel_b_block6,0.11,0.44,slow_campus_road,False,True,openstreetmap,high
edge_057,node_hostel_b_block6,node_mess_pg_pushpagiri,0.015,0.18,walking_path,False,True,estimated,high
edge_058,node_hostel_b_block1,node_hostel_b_block2,0.11,0.44,slow_campus_road,False,True,openstreetmap,high
edge_059,node_hostel_b_block2,node_mess_b2_aravali,0.015,0.18,walking_path,False,True,estimated,high
edge_060,node_hostel_b_block2,node_hostel_b_block3,0.134,0.54,slow_campus_road,False,True,openstreetmap,high
edge_061,node_hostel_b_block3,node_mess_b3_vindhya,0.015,0.18,walking_path,False,True,estimated,high
edge_062,node_hostel_b_block3,node_hostel_b_block4,0.12,0.48,slow_campus_road,False,True,openstreetmap,high
edge_063,node_hostel_b_block4,node_mess_b4_satpura,0.015,0.18,walking_path,False,True,estimated,high
edge_064,node_hostel_b_block4,node_hostel_b_block5,0.136,0.54,slow_campus_road,False,True,openstreetmap,high
edge_065,node_hostel_b_block5,node_mess_b5_nilgiri,0.015,0.18,walking_path,False,True,estimated,high
edge_066,node_hostel_b_block5,node_suprabha_boys,0.07,0.84,walking_path,False,True,openstreetmap,high
edge_067,node_suprabha_boys,node_hostel_b_mt2,0.119,0.48,slow_campus_road,False,True,openstreetmap,high
edge_068,node_suprabha_boys,node_hostel_b_mt3,0.079,0.32,slow_campus_road,False,True,openstreetmap,high
edge_069,node_hostel_b_block8,node_hostel_b_mt3,0.147,0.59,slow_campus_road,False,True,openstreetmap,high
edge_070,node_mess_mega,node_hostel_b_block4,0.198,0.79,slow_campus_road,False,True,openstreetmap,high
