vehicle_id,request_id,pickup_order,origin_id,destination_id,passenger_count,distance,travel_time,wait_time,pooled,route_status
vehicle_009,req_20260901_0040,1,hostel_g_gh5,loc_e_library,2,0.498,1.56,0.0,False,assigned
vehicle_010,req_20260901_0022,1,hostel_b_block3,dept_hssm,1,0.727,2.56,0.0,False,assigned
vehicle_010,req_20260901_0032,2,mess_gb,hostel_b_block3,1,0.437,2.11,0.0,True,assigned
vehicle_011,req_20260901_0046,1,loc_lhc_b,mess_b8_trishul,1,0.298,1.2,0.0,False,assigned
vehicle_012,req_20260901_0051,1,hostel_b_block2,dept_chemistry,3,0.653,2.06,0.0,False,assigned
vehicle_013,req_20260901_0023,1,hostel_g_gh3,loc_central_library,1,0.541,1.69,0.0,False,assigned
vehicle_013,req_20260901_0013,2,hostel_b_mt1,dept_mech,1,0.742,2.5,0.0,True,assigned
vehicle_014,req_20260901_0027,1,hostel_g_gh4,dept_eee,4,0.701,2.55,0.0,False,assigned
vehicle_015,req_20260901_0014,1,mess_b4_satpura,hostel_g_gh1,3,1.136,4.13,0.0,False,assigned
vehicle_015,req_20260901_0028,2,hostel_b_block5,loc_lhc_a,1,0.61,3.0,0.0,True,assigned
vehicle_016,req_20260901_0021,1,hostel_b_block3,loc_e_library,1,0.786,3.01,0.0,False,assigned
vehicle_017,req_20260901_0015,1,hostel_b_block6,loc_lhc_a,1,0.76,2.95,0.0,False,assigned
vehicle_017,req_20260901_0035,2,hostel_b_block3,loc_central_library,2,0.71,2.78,0.0,True,assigned
vehicle_018,req_20260901_0049,1,hostel_b_block3,loc_lhc_a,2,0.687,2.94,0.0,False,assigned
vehicle_017,req_20260901_0011,3,hostel_b_shivalik,loc_lhc_b,1,0.187,0.64,0.0,True,assigned
vehicle_018,req_20260901_0037,2,hostel_b_block2,loc_lhc_b,1,0.634,2.0,0.0,True,assigned
vehicle_019,req_20260901_0053,1,hostel_b_mt3,loc_lhc_b,2,0.43,1.45,0.0,False,assigned
vehicle_020,req_20260901_0036,1,dept_ece,dept_mme,1,0.617,2.19,0.0,False,assigned
vehicle_021,req_20260901_0034,1,hostel_b_shivalik,loc_lhc_b,1,0.187,0.64,0.0,False,assigned
vehicle_020,req_20260901_0058,2,hostel_g_gh5,loc_e_library,2,0.498,1.56,0.0,True,assigned
vehicle_021,req_20260901_0010,2,hostel_b_block5,loc_lhc_a,1,0.61,3.0,0.0,True,assigned
vehicle_020,req_20260901_0050,3,hostel_g_gh2,loc_central_library,1,0.47,1.41,0.0,True,assigned
vehicle_022,req_20260901_0055,1,hostel_g_gh3,loc_lhc_a,1,0.564,1.97,0.0,False,assigned
vehicle_021,req_20260901_0038,3,hostel_b_block1,loc_central_library,1,0.603,2.07,0.0,True,assigned
vehicle_023,req_20260901_0030,1,hostel_b_block6,loc_lhc_a,3,0.76,2.95,0.0,False,assigned
vehicle_023,req_20260901_0052,2,hostel_g_gh6,loc_lhc_b,1,0.593,2.06,0.0,True,assigned
vehicle_024,req_20260901_0033,1,hostel_b_block5,dept_chem,1,0.948,3.79,0.0,False,assigned
vehicle_024,req_20260901_0026,2,hostel_g_gh5,loc_lhc_a,2,0.597,2.07,0.0,True,assigned
vehicle_025,req_20260901_0012,1,hostel_b_block2,loc_lhc_b,1,0.634,2.0,0.0,False,assigned
vehicle_025,req_20260901_0017,2,hostel_b_block2,dept_civil,1,1.002,3.38,0.0,True,assigned
vehicle_024,req_20260901_0043,3,hostel_b_shivalik,loc_lhc_a,1,0.243,1.31,0.0,True,assigned
vehicle_025,req_20260901_0057,3,hostel_b_block1,loc_lhc_a,1,0.58,2.23,0.0,True,assigned
vehicle_025,req_20260901_0031,4,hostel_b_mt3,loc_lhc_b,1,0.43,1.45,0.0,True,assigned
